# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "1" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "PD_122_R8_S05#1_cds.txt" "PD_122_R8_S05#1.bam" 
Geneid	Chr	Start	End	Strand	Length	PD_122_R8_S05#1.bam
b0091	NC_000913.3	100765	102240	+	1476	2236
b0092	NC_000913.3	102233	103153	+	921	2175
b0093	NC_000913.3	103155	103985	+	831	1700
b0094	NC_000913.3	103982	105244	+	1263	2269
b0095	NC_000913.3	105305	106456	+	1152	4835
b0096	NC_000913.3	106557	107474	+	918	22973
b0097	NC_000913.3	107705	108217	+	513	1465
b0098	NC_000913.3	108279	110984	+	2706	4516
b0099	NC_000913.3	111044	111433	+	390	84
b0101	NC_000913.3	111649	111846	-	198	173
b0102	NC_000913.3	111856	112599	-	744	472
b0103	NC_000913.3	112599	113219	-	621	505
b4727	NC_000913.3	113244	113288	+	45	0
b0104	NC_000913.3	113444	114487	+	1044	877
b0106	NC_000913.3	114522	115724	-	1203	76
b0107	NC_000913.3	115714	117099	-	1386	129
b0108	NC_000913.3	117109	117549	-	441	4
b0109	NC_000913.3	117752	118645	-	894	684
b0110	NC_000913.3	118733	119284	+	552	409
b0111	NC_000913.3	119281	120135	+	855	441
b0112	NC_000913.3	120178	121551	-	1374	4387
b0113	NC_000913.3	122092	122856	+	765	1357
b0114	NC_000913.3	123017	125680	+	2664	12466
b0115	NC_000913.3	125695	127587	+	1893	6672
b0116	NC_000913.3	127912	129336	+	1425	12187
b0117	NC_000913.3	129407	131260	-	1854	168
b0118	NC_000913.3	131615	134212	+	2598	39513
b0119	NC_000913.3	134388	134750	+	363	591
b0120	NC_000913.3	134788	135582	-	795	782
b0121	NC_000913.3	135598	136464	-	867	973
b0122	NC_000913.3	136570	136917	-	348	684
b0123	NC_000913.3	137083	138633	+	1551	329
b0124	NC_000913.3	138835	141225	-	2391	821
b0125	NC_000913.3	141431	141967	+	537	1090
b0126	NC_000913.3	142008	142670	-	663	2364
b0127	NC_000913.3	142779	143705	+	927	658
b0128	NC_000913.3	143702	144472	+	771	505
b0129	NC_000913.3	144577	145017	+	441	477
b0130	NC_000913.3	145081	146310	+	1230	167
b0131	NC_000913.3	146314	146694	-	381	2251
b0132	NC_000913.3	146968	147870	+	903	159
b0133	NC_000913.3	147944	148795	-	852	2065
b0134	NC_000913.3	148807	149601	-	795	1425
b0135	NC_000913.3	149715	150953	-	1239	14
b0136	NC_000913.3	151003	151599	-	597	14
b0137	NC_000913.3	151626	152231	-	606	16
b0138	NC_000913.3	152243	152812	-	570	15
b0139	NC_000913.3	152829	155426	-	2598	50
b0140	NC_000913.3	155461	156201	-	741	2
b0141	NC_000913.3	156299	156883	-	585	3
b0142	NC_000913.3	157253	157732	-	480	103
b0143	NC_000913.3	157729	159126	-	1398	2035
b0144	NC_000913.3	159186	160112	-	927	170
b0145	NC_000913.3	160149	160604	-	456	6081
b0146	NC_000913.3	160782	161486	-	705	775
b0147	NC_000913.3	161501	162031	-	531	82
b0148	NC_000913.3	162105	164534	+	2430	741
b0149	NC_000913.3	164730	167264	+	2535	1255
b0150	NC_000913.3	167484	169727	+	2244	0
b0151	NC_000913.3	169778	170575	+	798	48
b0152	NC_000913.3	170575	171465	+	891	68
b0153	NC_000913.3	171462	173444	+	1983	104
b0154	NC_000913.3	173602	174882	-	1281	1424
b0155	NC_000913.3	175107	176528	+	1422	728
b4728	NC_000913.3	176552	176617	+	66	9
b0156	NC_000913.3	176610	176954	+	345	1106
b0157	NC_000913.3	177001	177624	-	624	313
b0158	NC_000913.3	177662	178462	-	801	194
b0159	NC_000913.3	178455	179153	-	699	1842
b0160	NC_000913.3	179237	180754	+	1518	487
b0161	NC_000913.3	180884	182308	+	1425	2714
b0162	NC_000913.3	182463	183620	+	1158	455
b0163	NC_000913.3	183709	184095	-	387	2193
b0164	NC_000913.3	184257	185069	-	813	136
b0166	NC_000913.3	185123	185947	-	825	3695
b0167	NC_000913.3	185978	188650	-	2673	1156
b0168	NC_000913.3	188712	189506	-	795	1915
b0169	NC_000913.3	189874	190599	+	726	18447
b0170	NC_000913.3	190857	191708	+	852	6293
b0171	NC_000913.3	191855	192580	+	726	836
b0172	NC_000913.3	192872	193429	+	558	4358
b0173	NC_000913.3	193521	194717	+	1197	536
b0174	NC_000913.3	194903	195664	+	762	2924
b0175	NC_000913.3	195677	196534	+	858	1442
b0176	NC_000913.3	196546	197898	+	1353	3368
b0177	NC_000913.3	197928	200360	+	2433	6365
b0178	NC_000913.3	200482	200967	+	486	2885
b0179	NC_000913.3	200971	201996	+	1026	4015
b0180	NC_000913.3	202101	202556	+	456	2504
b0181	NC_000913.3	202560	203348	+	789	2741
b0182	NC_000913.3	203348	204496	+	1149	1671
b0183	NC_000913.3	204493	205089	+	597	371
b0184	NC_000913.3	205126	208608	+	3483	2297
b0185	NC_000913.3	208621	209580	+	960	2368
b0186	NC_000913.3	209679	211820	+	2142	608
b0187	NC_000913.3	211877	212266	+	390	250
b0188	NC_000913.3	212331	213629	+	1299	366
b0189	NC_000913.3	213678	213932	-	255	456
b4406	NC_000913.3	213925	214125	-	201	579
b0190	NC_000913.3	214291	214836	+	546	357
b0191	NC_000913.3	214833	215255	+	423	229
b0192	NC_000913.3	215269	215979	+	711	517
b0193	NC_000913.3	216179	217003	-	825	142
b0194	NC_000913.3	217057	218775	-	1719	3114
b0195	NC_000913.3	218887	219594	-	708	249
b0196	NC_000913.3	219591	219995	-	405	633
b0197	NC_000913.3	220113	220928	-	816	5872
b0198	NC_000913.3	220968	221621	-	654	1327
b0199	NC_000913.3	221614	222645	-	1032	2093
b0200	NC_000913.3	222833	223408	+	576	587
b0207	NC_000913.3	229167	229970	+	804	193
b0208	NC_000913.3	229967	230881	-	915	371
b0209	NC_000913.3	231122	231922	+	801	2295
b0210	NC_000913.3	231926	232549	+	624	300
b0211	NC_000913.3	232597	233955	-	1359	30160
b0212	NC_000913.3	234027	234782	-	756	473
b0213	NC_000913.3	234816	235538	+	723	326
b0214	NC_000913.3	235535	236002	-	468	307
b0215	NC_000913.3	236067	236798	+	732	832
b0217	NC_000913.3	237335	238120	+	786	32
b4586	NC_000913.3	238257	238736	-	480	0
b0218	NC_000913.3	238746	239084	-	339	6
b4503	NC_000913.3	239190	239378	+	189	1
b0219	NC_000913.3	239419	240189	-	771	672
b0220	NC_000913.3	240343	240816	+	474	938
b0221	NC_000913.3	240859	243303	-	2445	2753
b0222	NC_000913.3	243543	244121	+	579	1608
b0223	NC_000913.3	244327	245094	+	768	643
b0224	NC_000913.3	245065	245805	-	741	2512
b0225	NC_000913.3	245961	246239	-	279	140
b0226	NC_000913.3	246242	246502	-	261	717
b0227	NC_000913.3	246712	247461	+	750	78
b0228	NC_000913.3	247637	248134	+	498	183
b0229	NC_000913.3	248358	250070	-	1713	34
b0230	NC_000913.3	250072	250827	+	756	21
b0231	NC_000913.3	250898	251953	+	1056	157
b0232	NC_000913.3	252005	252298	+	294	59
b0233	NC_000913.3	252301	252699	+	399	58
b0234	NC_000913.3	252709	253161	+	453	35
b0235	NC_000913.3	253467	253733	+	267	4
b0236	NC_000913.3	253702	254202	+	501	11
b0237	NC_000913.3	254259	255716	-	1458	3506
b0238	NC_000913.3	255977	256435	+	459	861
b0239	NC_000913.3	256527	257771	+	1245	725
b0240	NC_000913.3;NC_000913.3	257829;258676	257899;259006	+;+	402	1778
b4710	NC_000913.3	257923	258426	-	504	6
b4709	NC_000913.3	258345	258620	-	276	16
b0241	NC_000913.3	259045	260100	-	1056	21
b0242	NC_000913.3	260388	261491	+	1104	1912
b0243	NC_000913.3	261503	262756	+	1254	1479
b4626	NC_000913.3	263150	263212	-	63	0
b0245	NC_000913.3	263328	263669	-	342	5
b0246	NC_000913.3	263690	264007	-	318	1
b4504	NC_000913.3	264026	264247	-	222	2
b0247	NC_000913.3	264256	264732	-	477	2
b0248	NC_000913.3	264748	265206	-	459	1
b0249	NC_000913.3	265304	265543	-	240	1
b0250	NC_000913.3	265620	266087	-	468	462
b0251	NC_000913.3	266110	266553	-	444	43
b0252	NC_000913.3	267184	268005	-	822	6
b0253	NC_000913.3	268097	268960	-	864	397
b0254	NC_000913.3	269289	270182	-	894	96
b4587	NC_000913.3;NC_000913.3	270278;271764	270540;272190	+;+	690	179
b0256	NC_000913.3	270603	271754	+	1152	35
b0258	NC_000913.3	272847	273992	+	1146	174
b0259	NC_000913.3	274101	275117	-	1017	1212
b0260	NC_000913.3	275325	276728	+	1404	341
b0261	NC_000913.3	276715	277647	+	933	1136
b0262	NC_000913.3	277756	278802	-	1047	57
b0263	NC_000913.3	278814	279162	-	349	9
b0264	NC_000913.3	279178	279681	-	504	25
b0265	NC_000913.3	279600	279875	-	276	72
b0266	NC_000913.3	280385	280735	-	351	196
b0267	NC_000913.3	280829	281983	-	1155	5
b0268	NC_000913.3	282278	283186	+	909	140
b0269	NC_000913.3	283201	285168	+	1968	340
b0270	NC_000913.3	285395	286777	+	1383	56
b0271	NC_000913.3	286789	288399	+	1611	69
b0272	NC_000913.3	288404	289162	-	759	577
b0273	NC_000913.3	289301	290305	-	1005	3490
b4688	NC_000913.3	290510	290638	+	129	43
b0274	NC_000913.3	290649	291152	-	504	25
b0275	NC_000913.3	291071	291346	-	276	61
b0276	NC_000913.3	291500	292231	+	732	320
b0277	NC_000913.3	292322	292948	-	627	77
b0278	NC_000913.3	293220	293918	-	699	13
b0279	NC_000913.3	293945	294799	-	855	6
b4729	NC_000913.3	294918	295142	-	225	12
b0280	NC_000913.3	295139	295579	-	441	1834
b0281	NC_000913.3	295696	297096	-	1401	266
b0282	NC_000913.3	297381	297791	-	411	29
b0283	NC_000913.3	297770	298726	-	957	104
b0284	NC_000913.3	298736	300934	-	2199	247
b0285	NC_000913.3	300931	301887	-	957	71
b0286	NC_000913.3	301884	302573	-	690	67
b0287	NC_000913.3	302991	303605	+	615	262
b0288	NC_000913.3	303853	304182	-	330	29
b0289	NC_000913.3	304495	305205	-	711	99
b0290	NC_000913.3	305174	306817	-	1644	88
b0291	NC_000913.3	306807	309332	-	2526	39
b0292	NC_000913.3	309358	310026	-	669	9
b0293	NC_000913.3	310084	310671	-	588	29
b0294	NC_000913.3	310746	311336	-	591	3
b0295	NC_000913.3	312112	312339	+	228	18
b4506	NC_000913.3	312374	312514	-	141	5
b0296	NC_000913.3	312514	312777	-	264	34
b4671	NC_000913.3	313141	313242	-	102	3
b4630	NC_000913.3	313716	313805	-	90	0
b0297	NC_000913.3	314357	315244	+	888	2
b0298	NC_000913.3	315291	315590	+	300	1
b0299	NC_000913.3	315587	316453	+	867	0
b0300	NC_000913.3	316450	317136	-	687	78
b0301	NC_000913.3	317726	318319	-	594	11
b0303	NC_000913.3	318331	318567	-	237	8
b0304	NC_000913.3	318676	320001	-	1326	138
b0305	NC_000913.3	320227	321081	+	855	70
b0306	NC_000913.3	321608	322327	+	720	210
b0307	NC_000913.3	322338	323765	+	1428	333
b0308	NC_000913.3	323758	324453	+	696	55
b0310	NC_000913.3	324696	325364	-	669	6
b0311	NC_000913.3	325577	327247	-	1671	159
b0312	NC_000913.3	327261	328733	-	1473	370
b0313	NC_000913.3	328747	329334	-	588	264
b0314	NC_000913.3	329463	331496	+	2034	522
b4730	NC_000913.3	331802	331876	+	75	0
b0315	NC_000913.3	332371	333459	+	1089	93
b0316	NC_000913.3	333501	334433	-	933	201
b0317	NC_000913.3	334525	335022	-	498	23
b0318	NC_000913.3	335280	335885	+	606	77
b0319	NC_000913.3	335925	336788	+	864	16
b0320	NC_000913.3	336778	338325	+	1548	21
b0321	NC_000913.3	338325	339743	+	1419	28
b0322	NC_000913.3	339793	340089	+	297	2
b0323	NC_000913.3	340165	341115	+	951	5
b0324	NC_000913.3	341125	342507	+	1383	228
b0325	NC_000913.3	342884	343933	+	1050	1579
b0326	NC_000913.3	344176	344991	+	816	16
b0327	NC_000913.3	345404	345649	+	246	6
b0328	NC_000913.3	345666	346337	-	672	252
b0329	NC_000913.3	346484	346759	+	276	1273
b0330	NC_000913.3	346857	348443	-	1587	0
b0331	NC_000913.3	348682	349572	+	891	11
b0333	NC_000913.3	350012	351181	+	1170	10
b0334	NC_000913.3	351215	352666	+	1452	14
b0335	NC_000913.3	352706	354592	+	1887	66
b0336	NC_000913.3	354922	356181	+	1260	518
b0337	NC_000913.3	356171	357454	+	1284	727
b0338	NC_000913.3	357791	358690	-	900	96
b0339	NC_000913.3	358799	359458	+	660	33
b0340	NC_000913.3	359489	359959	+	471	49
b0341	NC_000913.3	359992	361146	+	1155	56
b0342	NC_000913.3	361249	361860	-	612	25
b0343	NC_000913.3	361926	363179	-	1254	40
b0344	NC_000913.3	363231	366305	-	3075	17
b0345	NC_000913.3	366428	367510	-	1083	1155
b0346	NC_000913.3	367587	368420	-	834	2038
b0347	NC_000913.3	368611	370275	+	1665	38
b0348	NC_000913.3	370277	371221	+	945	15
b0349	NC_000913.3	371239	372105	+	867	236
b0350	NC_000913.3	372115	372924	+	810	204
b0351	NC_000913.3	372921	373871	+	951	160
b0352	NC_000913.3	373868	374881	+	1014	274
b0353	NC_000913.3	375459	376670	+	1212	187
b0354	NC_000913.3	376772	377311	+	540	408
b0355	NC_000913.3	377535	378368	-	834	128
b0356	NC_000913.3	378462	379571	-	1110	653
b0357	NC_000913.3	379606	379881	-	276	225
b0358	NC_000913.3	380069	380842	-	774	102
b4579	NC_000913.3;NC_000913.3	380844;382591	381260;382872	-;-	699	20
b0360	NC_000913.3	381351	381716	+	366	0
b0361	NC_000913.3	381674	382579	+	906	5
b0363	NC_000913.3	382739	383935	-	1197	51
b4731	NC_000913.3	383960	384079	+	120	1
b0364	NC_000913.3	384059	384616	-	558	1
b0365	NC_000913.3	385232	386194	+	963	38
b0366	NC_000913.3	386207	386974	+	768	40
b0367	NC_000913.3	386971	387798	+	828	30
b0368	NC_000913.3	387795	388646	+	852	60
b0369	NC_000913.3	388753	389727	-	975	1162
b4580	NC_000913.3;NC_000913.3	390251;392970	391708;394418	+;+	2907	275
b0372	NC_000913.3	391739	392605	-	867	208
b0373	NC_000913.3	392602	392901	-	300	148
b0375	NC_000913.3	394506	395129	+	624	1
b0376	NC_000913.3	395130	396287	-	1158	717
b0377	NC_000913.3	396639	397859	+	1221	402
b0378	NC_000913.3	397872	398966	+	1095	565
b0379	NC_000913.3	399025	399333	-	309	161
b0380	NC_000913.3	399593	399805	+	213	1457
b0381	NC_000913.3	399829	400923	-	1095	772
b0382	NC_000913.3	401386	401646	+	261	2656
b0383	NC_000913.3	401747	403162	+	1416	585
b0384	NC_000913.3	403281	403601	+	321	394
b0385	NC_000913.3	403703	404818	+	1116	100
b0386	NC_000913.3	404835	405644	-	810	958
b0387	NC_000913.3	405764	406222	+	459	316
b0388	NC_000913.3	406405	406929	+	525	1249
b0389	NC_000913.3	406979	407170	+	192	739
b0390	NC_000913.3	407428	408105	+	678	1302
b0391	NC_000913.3	408177	408461	+	285	1893
b0392	NC_000913.3	408609	408950	+	342	225
b4732	NC_000913.3	408947	409030	+	84	10
b0393	NC_000913.3	409108	410019	-	912	598
b0394	NC_000913.3	410144	411052	+	909	365
b0396	NC_000913.3	411297	412481	-	1185	321
b0397	NC_000913.3	412607	415753	-	3147	391
b0398	NC_000913.3	415750	416952	-	1203	267
b0399	NC_000913.3	417142	417831	+	690	569
b0400	NC_000913.3	417889	419184	+	1296	371
b0401	NC_000913.3	419591	420910	+	1320	562
b0402	NC_000913.3	420986	422359	+	1374	391
b0403	NC_000913.3	422518	424332	+	1815	292
b0404	NC_000913.3	424337	424918	-	582	118
b0405	NC_000913.3	425011	426081	+	1071	448
b0406	NC_000913.3	426137	427264	+	1128	2385
b0407	NC_000913.3	427287	427619	+	333	4406
b0408	NC_000913.3	427647	429494	+	1848	2881
b0409	NC_000913.3	429505	430476	+	972	1961
b0410	NC_000913.3	430605	430952	+	348	509
b0411	NC_000913.3	431129	432013	-	885	4205
b0412	NC_000913.3	432312	432851	-	540	102
b0413	NC_000913.3	433002	433451	+	450	766
b0414	NC_000913.3	433455	434558	+	1104	1229
b0415	NC_000913.3	434647	435117	+	471	859
b0416	NC_000913.3	435137	435556	+	420	809
b0417	NC_000913.3	435634	436611	+	978	405
b0418	NC_000913.3	436589	437107	+	519	1342
b0419	NC_000913.3	437161	438135	-	975	1679
b0420	NC_000913.3	438315	440177	-	1863	1900
b0421	NC_000913.3	440202	441101	-	900	1483
b0422	NC_000913.3	441101	441343	-	243	852
b0423	NC_000913.3	441549	442997	+	1449	670
b0424	NC_000913.3	443051	443641	-	591	335
b0425	NC_000913.3	443604	444515	-	912	510
b0426	NC_000913.3	444683	445174	+	492	2142
b0427	NC_000913.3	445302	446666	-	1365	344
b0428	NC_000913.3	446815	447705	-	891	7071
b0429	NC_000913.3	447717	448046	-	330	3614
b0430	NC_000913.3	448046	448660	-	615	3236
b0431	NC_000913.3	448650	450641	-	1992	16177
b0432	NC_000913.3	450663	451610	-	948	14286
b0433	NC_000913.3	452070	453545	-	1476	362
b0434	NC_000913.3	453589	454167	-	579	1171
b0435	NC_000913.3	454472	454789	+	318	5650
b0436	NC_000913.3	455133	456431	+	1299	12130
b0437	NC_000913.3	456677	457300	+	624	2857
b0438	NC_000913.3	457426	458700	+	1275	6112
b0439	NC_000913.3	458888	461242	+	2355	4675
b0440	NC_000913.3	461451	461723	+	273	12598
b0441	NC_000913.3	461915	463786	+	1872	3815
b0442	NC_000913.3	463937	464308	+	372	211
b0443	NC_000913.3	464402	464800	+	399	297
b0444	NC_000913.3	464852	465547	-	696	611
b0445	NC_000913.3	465612	467312	-	1701	326
b0446	NC_000913.3	467412	468230	+	819	497
b0447	NC_000913.3	468383	468841	+	459	311
b0448	NC_000913.3	468871	470643	+	1773	507
b0449	NC_000913.3	470636	472417	+	1782	378
b0450	NC_000913.3	472598	472936	+	339	3
b0451	NC_000913.3	472966	474252	+	1287	140
b0452	NC_000913.3	474301	475161	-	861	743
b0453	NC_000913.3	475379	475951	+	573	1206
b0454	NC_000913.3	475982	476371	-	390	339
b0456	NC_000913.3	476672	477025	+	354	419
b0457	NC_000913.3	477067	478617	-	1551	268
b0458	NC_000913.3	478781	479251	-	471	626
b0459	NC_000913.3	479367	479918	-	552	406
b0460	NC_000913.3	480090	480308	-	219	504
b0461	NC_000913.3	480334	480708	-	375	652
b0462	NC_000913.3	481254	484403	-	3150	6845
b0463	NC_000913.3	484426	485619	-	1194	2025
b0464	NC_000913.3	485761	486408	+	648	354
b0465	NC_000913.3	486536	489898	+	3363	1222
b0466	NC_000913.3	490110	490271	-	162	107
b0467	NC_000913.3	490285	490812	-	528	296
b0468	NC_000913.3	490882	491259	+	378	411
b0469	NC_000913.3	491412	491963	+	552	453
b0470	NC_000913.3;NC_000913.3;NC_000913.3	492092;492092;493375	494023;493375;493386	+;+;+	1932	1491
b0471	NC_000913.3	494076	494405	+	330	976
b0472	NC_000913.3	494405	495010	+	606	945
b0473	NC_000913.3	495120	496994	+	1875	3494
b0474	NC_000913.3	497175	497819	+	645	4124
b0475	NC_000913.3	498055	499017	+	963	171
b0476	NC_000913.3	499014	499973	-	960	223
b0477	NC_000913.3	500125	501429	+	1305	504
b0478	NC_000913.3	501562	503238	-	1677	1766
b0479	NC_000913.3	503476	504696	-	1221	619
b0480	NC_000913.3	504914	506566	+	1653	1191
b0481	NC_000913.3	506603	507082	-	480	115
b0482	NC_000913.3	507286	508080	-	795	157
b0483	NC_000913.3	508218	508559	+	342	887
b0484	NC_000913.3;NC_000913.3;NC_000913.3	508875;511168;511176	511379;511176;511379	-;-;-	2505	930
b0485	NC_000913.3	511641	512573	+	933	14
b0486	NC_000913.3	512576	513868	+	1293	86
b0487	NC_000913.3	513993	514400	+	408	436
b0488	NC_000913.3	514401	514859	-	459	375
b0489	NC_000913.3	514856	515773	-	918	622
b0490	NC_000913.3	515919	516596	+	678	231
b0491	NC_000913.3	516583	517362	+	780	142
b0492	NC_000913.3	517425	518279	-	855	1006
b0493	NC_000913.3	518340	519149	-	810	344
b0494	NC_000913.3	519139	519765	-	627	305
b0495	NC_000913.3	519733	520419	+	687	223
b0496	NC_000913.3	520416	522830	+	2415	444
b0497	NC_000913.3	523261	527541	+	4281	339
b0498	NC_000913.3	527581	527949	+	369	10
b0499	NC_000913.3	527949	528659	+	711	8
b0501	NC_000913.3	528640	529130	+	491	1
b4632	NC_000913.3	529497	529592	+	96	2
b0502	NC_000913.3	529645	530016	-	372	91
b0503	NC_000913.3	530132	531226	-	1095	142
b0504	NC_000913.3	531295	532221	-	927	68
b0505	NC_000913.3	532451	532933	+	483	354
b0506	NC_000913.3	533011	533826	+	816	2721
b0507	NC_000913.3	533916	535697	+	1782	307
b0508	NC_000913.3	535710	536486	+	777	111
b0509	NC_000913.3	536586	537464	+	879	117
b0511	NC_000913.3	537633	539087	+	1455	28
b0512	NC_000913.3	539147	540508	+	1362	333
b0513	NC_000913.3	540565	541866	+	1302	51
b0514	NC_000913.3	541888	543033	+	1146	41
b0515	NC_000913.3	543261	544046	-	786	404
b0516	NC_000913.3	544057	545292	-	1236	226
b0517	NC_000913.3	545314	546363	-	1050	83
b0518	NC_000913.3	546680	548347	+	1668	16
b4572	NC_000913.3	548357	549616	+	1260	30
b0520	NC_000913.3	549627	550442	+	816	36
b0521	NC_000913.3	550439	551332	+	894	31
b0522	NC_000913.3	551527	552594	-	1068	678
b0523	NC_000913.3	552591	553100	-	510	413
b0524	NC_000913.3	553218	553940	-	723	222
b0525	NC_000913.3	553943	554437	-	495	3027
b0526	NC_000913.3	554611	555996	+	1386	1406
b0527	NC_000913.3	556032	556553	-	522	20
b0528	NC_000913.3	556661	556873	-	213	187
b0529	NC_000913.3	556875	557741	-	867	1421
b0530	NC_000913.3	558212	558754	+	543	10
b0531	NC_000913.3	558974	559666	+	693	0
b0532	NC_000913.3	559697	562300	+	2604	66
b0533	NC_000913.3	562336	563319	+	984	10
b0534	NC_000913.3	563330	563845	+	516	12
b0535	NC_000913.3	563848	564480	-	633	14
b0537	NC_000913.3	564815	565978	-	1164	616
b4633	NC_000913.3	565858	566079	-	222	3
b0539	NC_000913.3	566098	566361	-	264	17
b0542	NC_000913.3;NC_000913.3	566684;568035	566776;568247	+;+	306	61
b0540	NC_000913.3	566842	567141	+	300	1
b0541	NC_000913.3	567138	568004	+	867	3
b0543	NC_000913.3	568315	568647	+	333	205
b4733	NC_000913.3	568695	568844	+	150	0
b0544	NC_000913.3	568902	570428	+	1527	18
b0545	NC_000913.3	570893	571444	+	552	58
b0546	NC_000913.3	571454	572251	+	798	188
b4588	NC_000913.3	572368	572469	+	102	0
b0547	NC_000913.3	572466	572921	+	456	2
b0548	NC_000913.3	572921	573091	+	171	0
b0549	NC_000913.3	573084	573374	+	291	0
b0550	NC_000913.3	573371	573733	+	363	1
